id,Gender,Married,Dependents,Education,Self_Employed,Total_Income,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,Male,No,0,Graduate,No,315846,30240,360,1,Urban,Y
1,Male,Yes,1,Graduate,No,328914,69120,360,1,Rural,N
2,Male,Yes,0,Graduate,Yes,162000,35640,360,1,Urban,Y
3,Male,Yes,0,Not Graduate,No,266814,64800,360,1,Urban,Y
4,Male,No,0,Graduate,No,324000,76140,360,1,Urban,Y
5,Male,Yes,2,Graduate,Yes,519102,144180,360,1,Urban,Y
6,Male,Yes,0,Not Graduate,No,207846,51300,360,1,Urban,Y
7,Male,Yes,3,Graduate,No,299160,85320,360,0,Semiurban,N
8,Male,Yes,2,Graduate,No,298728,90720,360,1,Urban,Y
9,Male,Yes,1,Graduate,No,1285686,188460,360,1,Semiurban,N
10,Male,Yes,2,Graduate,No,210600,37800,360,1,Urban,Y
11,Male,Yes,2,Graduate,,234360,58860,360,1,Urban,Y
12,Male,Yes,2,Graduate,No,603666,108000,360,1,Urban,Y
13,Male,No,0,Graduate,No,253422,61560,360,1,Rural,N
14,Male,Yes,2,Graduate,No,128790,9180,120,1,Urban,Y
15,Male,No,0,Graduate,No,267300,67500,360,1,Urban,Y
16,Male,No,1,Not Graduate,No,194184,54000,240,1,Urban,Y
17,Female,No,0,Graduate,No,189540,41040,360,0,Urban,N
18,Male,Yes,0,Not Graduate,No,263898,71820,360,1,Rural,N
19,Male,Yes,0,Graduate,,329400,62100,360,1,Urban,Y
20,Male,Yes,0,Not Graduate,No,413640,56160,360,0,Urban,N
21,Male,Yes,1,Graduate,No,625320,170100,360,1,Urban,Y
22,Male,Yes,0,Not Graduate,No,243594,62640,360,0,Semiurban,N
23,Male,Yes,2,Not Graduate,No,285228,60480,360,0,Rural,N
24,Male,Yes,1,Graduate,,358668,81540,360,1,Semiurban,N
25,Male,Yes,0,Graduate,Yes,516240,103140,360,1,Semiurban,Y
26,Male,Yes,0,Graduate,No,272808,65880,360,1,Semiurban,Y
27,Male,Yes,2,Not Graduate,No,284364,59400,360,1,Urban,Y
28,Male,No,0,Not Graduate,No,77868,18900,360,1,Urban,N
29,Female,No,2,Graduate,,314982,64800,360,1,Semiurban,Y
30,Male,Yes,1,Graduate,,406890,108540,360,1,Urban,N
31,Male,No,0,Graduate,No,171018,39960,360,1,Urban,N
32,Male,No,1,Graduate,Yes,253368,57240,360,1,Rural,N
33,Male,Yes,0,Graduate,No,279018,61560,360,1,Semiurban,Y
34,Male,No,3,Graduate,No,837000,172800,360,1,Rural,N
35,Male,Yes,0,Graduate,No,234468,39420,360,1,Urban,Y
36,Male,Yes,0,Graduate,No,170532,54000,360,0,Urban,N
